|-------------------------------------------------------------------------|
|   File Name : in_lat.dat
|   Subject   : reference latitudes used for initial guess atmosphere
|   File Type : input of gmtr
|   Data Type : atmospherical data
|   Author/s  : WRF-Chem
|   Date      : Fri Jul 26 15:39:24 2024
|-------------------------------------------------------------------------|

 WRF-Chem profiles
#
 number of profiles
#
  135
#
  10.00000  45.00000  90.00000 135.00000 170.00000 190.00000 225.00000 270.00000
 305.64896 305.72241 305.79584 305.86932 305.94278 306.01630 306.08978 306.16330
 306.23685 306.31039 306.38394 306.45755 306.53113 306.60474 306.67838 306.75201
 306.82565 306.89929 306.97299 307.04669 307.12039 307.19409 307.26782 307.34158
 307.41531 307.48911 307.56290 307.63669 307.71048 307.78430 307.85815 307.93198
 308.00583 308.07971 308.15359 308.22748 308.30139 308.37531 308.44922 308.52316
 308.59711 308.67108 308.74506 308.81903 308.89301 308.96704 309.04105 309.11508
 309.18909 309.26315 309.33722 309.41125 309.48535 309.55945 309.63354 309.70764
 309.78174 309.85587 309.93002 310.00415 310.07831 310.15247 310.22665 310.30081
 310.37500 310.44922 310.52341 310.59763 310.67184 310.74606 310.82031 310.89456
 310.96881 311.04306 311.11734 311.19162 311.26587 311.34018 311.41449 311.48877
 311.56308 311.63739 311.71173 311.78607 311.86041 311.93475 312.00909 312.08344
 312.15781 312.23218 312.30655 312.38092 312.45532 312.52969 312.60406 312.67850
 312.75287 312.82727 312.90170 312.97614 313.05054 313.12497 313.19940 313.27383
 313.34827 313.42273 313.49716 313.57159 313.64606 313.72052 313.79498 313.86945
 313.94391 314.01837 314.09283 314.16730 314.24179 314.31628 314.39075 314.46524
 314.53973 314.61420 314.68869 314.76318 314.83768 314.91217 350.00000
